"person_id","item_id","item_type","item_level","test_score"
"4b64f442",1,"dictation",3.812769631,120
"4b64f442",2,"ctest",9.980779778,120
"4b64f442",3,"audio_vocab",10,120
"4b64f442",4,"ctest",4.346819046,120
"4b64f442",5,"text_vocab",8.123,120
"4b64f442",6,"dictation",0.426555525,120
"4b64f442",7,"text_vocab",7.491,120
"4b64f442",8,"ctest",6.14381174,120
"4b64f442",9,"dictation",8.859693902,120
"4b64f442",10,"dictation",2.115158894,120
"4b64f442",11,"elicited_speech",6.00233872,120
"4b64f442",12,"audio_vocab",1.434,120
"4b64f442",13,"dictation",7.630951328,120
"4b64f442",14,"elicited_speech",7.580243024,120
"4b64f442",15,"audio_vocab",6.518,120
"4b64f442",16,"elicited_speech",7.66424544,120
"4b64f442",17,"text_vocab",3.148,120
"4b64f442",18,"text_vocab",9.927,120
"4b64f442",19,"audio_vocab",5.947,120
"4b64f442",20,"text_vocab",7.259,120
"4b64f442",21,"text_vocab",8.022,120
"4b64f442",22,"elicited_speech",8.622568398,120
"4b64f442",23,"dictation",7.91134448,120
"4b64f442",24,"text_vocab",9.642,120
"4b64f442",25,"ctest",8.040999066,120
"4b64f442",26,"audio_vocab",9.705,120
"4b64f442",27,"ctest",9.667288316,120
"4b64f442",28,"ctest",0.721281463,120
"4b64f442",29,"elicited_speech",5.767554627,120
"4b64f442",30,"audio_vocab",4.345,120
"4b64f442",31,"elicited_speech",7.556671064,120
"5d5df09b",32,"ctest",8.80459668,145
"5d5df09b",33,"elicited_speech",4.549802998,145
"5d5df09b",34,"ctest",9.705565704,145
"5d5df09b",35,"dictation",8.872082713,145
"5d5df09b",36,"audio_vocab",5.062,145
"5d5df09b",37,"audio_vocab",0.744,145
"5d5df09b",38,"dictation",1.030286206,145
"5d5df09b",39,"text_vocab",9.8,145
"5d5df09b",40,"ctest",2.520958881,145
"5d5df09b",41,"dictation",8.793114844,145
"5d5df09b",42,"ctest",9.750071839,145
"5d5df09b",43,"dictation",3.608959371,145
"5d5df09b",44,"text_vocab",9.852,145
"5d5df09b",45,"audio_vocab",10,145
"5d5df09b",46,"text_vocab",5.091,145
"5d5df09b",47,"ctest",6.679931507,145
"5d5df09b",48,"audio_vocab",10,145
"5d5df09b",49,"elicited_speech",7.68918486,145
"5d5df09b",50,"elicited_speech",9.001849736,145
"5d5df09b",51,"elicited_speech",8.931411792,145
"5d5df09b",52,"text_vocab",10,145
"5d5df09b",53,"elicited_speech",8.565483138,145
"5d5df09b",54,"ctest",9.68571876,145
"5d5df09b",55,"elicited_speech",8.922600971,145
"5d5df09b",56,"audio_vocab",6.265,145
"5d5df09b",57,"dictation",8.270961043,145
"5d5df09b",58,"audio_vocab",8.238,145
"5d5df09b",59,"text_vocab",8.277,145
"5d5df09b",60,"dictation",5.383306166,145
"5d5df09b",61,"elicited_speech",9.027297961,145
"5d5df09b",62,"text_vocab",2.637,145
"5d5df09b",63,"text_vocab",8.051,145
"33242a30",64,"audio_vocab",7.851,110
"33242a30",65,"audio_vocab",9.883,110
"33242a30",66,"text_vocab",8.369,110
"33242a30",67,"ctest",0.551068833,110
"33242a30",68,"text_vocab",10,110
"33242a30",69,"elicited_speech",7.760171525,110
"33242a30",70,"audio_vocab",2.325,110
"33242a30",71,"elicited_speech",8.000579123,110
